[info]
Plant Name: Clarkson Inverter
Date: 18/04/2019

[measurements]
Time;Address;Model;MPPT;VDC1;IDC1;PDC1;VDC2;IDC2;PDC2;VAC;IAC;PAC;TINV;TINT;ENERGY;RISO;ILEAK;IRR;GENFREQ;
;;;;VDC;ADC;W;VDC;ADC;W;V;A;W;°C;°C;Wh;MOhm;mA;W/mq;Hz;

[start]
10:36;2;PVI-4.2-OUTD-US-W;S;141.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;270.9;0.0;0.0;0.0;0.0;0;0;0;
10:37;2;PVI-4.2-OUTD-US-W;S;199.3;5.6;1109.4;199.1;2.8;549.3;197.4;4.7;979.9;33.5;32.1;219.0;20.0;0;0;0;
10:38;2;PVI-4.2-OUTD-US-W;S;157.8;3.9;618.0;157.6;1.9;305.6;196.7;1.9;462.7;35.8;32.8;244.0;20.0;0;0;0;
10:39;2;PVI-4.2-OUTD-US-W;S;174.5;4.0;657.3;151.4;1.9;282.8;197.5;3.4;600.2;34.6;33.2;260.0;20.0;0;0;0;
10:40;2;PVI-4.2-OUTD-US-W;S;224.2;6.5;1466.6;224.0;3.2;726.9;198.0;9.1;1241.3;36.5;32.8;279.0;20.0;0;0;0;
10:41;2;PVI-4.2-OUTD-US-W;S;296.8;10.4;2976.8;273.7;4.9;1330.6;198.5;12.8;2852.0;35.0;32.8;295.0;20.0;0;0;0;
10:42;2;PVI-4.2-OUTD-US-W;S;142.2;3.1;438.8;141.8;1.5;217.0;197.5;8.2;438.7;35.2;33.0;316.0;20.0;0;0;0;
10:43;2;PVI-4.2-OUTD-US-W;S;85.7;1.4;143.1;117.1;0.7;80.6;196.7;1.3;143.0;37.9;34.8;343.0;20.0;0;0;0;
10:44;2;PVI-4.2-OUTD-US-W;S;268.3;9.2;2460.6;268.3;4.6;1223.6;197.9;10.7;2118.2;37.0;34.0;360.0;20.0;0;0;0;
10:45;2;PVI-4.2-OUTD-US-W;S;139.1;3.4;470.1;138.7;1.7;232.9;197.2;2.6;206.1;36.3;34.1;379.0;20.0;0;0;0;
