[info]
Plant Name: TestInverter
Date: 21/04/2019

[measurements]
Time;Address;Model;MPPT;VDC1;IDC1;PDC1;VDC2;IDC2;PDC2;VAC;IAC;PAC;TINV;TINT;ENERGY;RISO;ILEAK;GENFREQ;
;;;;VDC;ADC;W;VDC;ADC;W;V;A;W;°C;°C;Wh;MOhm;mA;Hz;

[start]
16:14;2;PVI-4.2-OUTD-US-W;S;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
16:29;2;PVI-4.2-OUTD-US-W;S;75.56;1.07;86.58;75.56;1.07;71.65;217.43;0.86;437.8;21.09;24.3;4.34;20.0;199;10.59;
16:30;2;PVI-4.2-OUTD-US-W;S;74.02;1.74;39.94;74.02;1.74;68.27;211.68;0.03;305.05;25.49;24.73;3.17;20.0;116;41.48;
16:31;2;PVI-4.2-OUTD-US-W;S;68.04;0.66;90.85;68.04;0.66;52.05;191.52;1.8;376.76;22.03;25.64;4.28;20.0;123;3.3;
16:43;2;PVI-4.2-OUTD-US-W;S;79.68;1.83;52.18;79.68;1.83;92.16;198.28;0.21;375.95;26.08;24.46;1.36;20.0;189;36.91;
16:44;2;PVI-4.2-OUTD-US-W;S;52.52;0.72;34.17;52.52;0.72;98.87;195.35;0.49;324.5;24.39;23.08;1.5;20.0;124;24.9;
16:45;2;PVI-4.2-OUTD-US-W;S;76.11;1.61;48.9;76.11;1.61;11.88;199.26;0.75;442.35;26.91;21.4;4.73;20.0;116;21.89;
16:46;2;PVI-4.2-OUTD-US-W;S;58.29;1.11;48.99;58.29;1.11;67.62;211.01;0.57;394.93;26.12;22.71;4.32;20.0;171;25.78;
16:47;2;PVI-4.2-OUTD-US-W;S;50.54;0.66;56.25;50.54;0.66;51.21;200.7;0.12;314.96;24.5;26.43;3.21;20.0;172;34.07;
16:48;2;PVI-4.2-OUTD-US-W;S;54.09;0.9;45.94;54.09;0.9;64.29;207.66;0.8;487.83;23.85;21.15;4.13;20.0;163;1.18;
16:49;2;PVI-4.2-OUTD-US-W;S;57.8;0.82;64.13;57.8;0.82;62.1;199.24;1.85;351.55;27.03;28.93;0.09;20.0;122;24.05;
16:50;2;PVI-4.2-OUTD-US-W;S;53.92;1.73;34.68;53.92;1.73;46.0;194.23;1.36;490.85;23.05;27.27;1.62;20.0;117;12.06;
16:51;2;PVI-4.2-OUTD-US-W;S;69.82;1.39;60.22;69.82;1.39;4.12;196.48;1.57;373.2;24.67;25.66;2.6;20.0;124;37.69;
16:52;2;PVI-4.2-OUTD-US-W;S;79.6;0.6;64.57;79.6;0.6;42.19;206.93;1.91;437.64;21.16;27.82;3.68;20.0;158;55.26;
16:53;2;PVI-4.2-OUTD-US-W;S;69.68;0.17;10.07;69.68;0.17;65.11;213.84;1.19;486.28;29.43;23.39;0.77;20.0;130;44.6;
16:54;2;PVI-4.2-OUTD-US-W;S;61.74;0.47;57.52;61.74;0.47;31.39;219.76;1.83;430.59;24.97;25.24;1.87;20.0;141;14.09;
16:55;2;PVI-4.2-OUTD-US-W;S;73.77;0.54;58.24;73.77;0.54;85.22;197.66;0.37;467.71;24.64;26.47;4.67;20.0;127;30.59;
16:56;2;PVI-4.2-OUTD-US-W;S;59.95;0.85;77.39;59.95;0.85;98.49;207.01;0.16;419.31;29.26;23.73;4.97;20.0;135;2.66;
16:57;2;PVI-4.2-OUTD-US-W;S;65.51;0.26;5.22;65.51;0.26;73.0;205.22;0.7;377.22;20.79;30.0;3.52;20.0;196;11.16;
16:58;2;PVI-4.2-OUTD-US-W;S;52.7;1.49;82.58;52.7;1.49;85.65;217.11;1.83;440.09;23.0;23.3;3.65;20.0;193;40.47;
16:59;2;PVI-4.2-OUTD-US-W;S;74.93;0.04;13.41;74.93;0.04;16.51;210.19;1.32;345.05;22.42;29.58;2.6;20.0;122;48.69;
17:00;2;PVI-4.2-OUTD-US-W;S;79.98;0.78;9.7;79.98;0.78;41.12;203.74;1.09;407.12;21.27;25.54;1.79;20.0;151;34.15;
17:01;2;PVI-4.2-OUTD-US-W;S;77.6;1.42;44.75;77.6;1.42;53.99;198.86;0.11;331.52;21.85;28.15;3.96;20.0;175;8.08;
17:02;2;PVI-4.2-OUTD-US-W;S;67.04;0.0;62.87;67.04;0.0;65.83;215.85;1.43;388.55;20.18;23.1;1.01;20.0;171;38.16;
17:03;2;PVI-4.2-OUTD-US-W;S;78.46;1.61;1.16;78.46;1.61;89.47;206.82;0.36;459.56;27.46;29.18;2.7;20.0;168;43.85;
17:04;2;PVI-4.2-OUTD-US-W;S;72.12;0.69;82.48;72.12;0.69;37.09;202.11;1.13;407.45;22.19;27.44;1.43;20.0;175;58.01;
17:05;2;PVI-4.2-OUTD-US-W;S;56.22;0.52;34.65;56.22;0.52;86.27;213.8;0.97;434.93;23.3;21.82;4.18;20.0;138;47.2;
17:06;2;PVI-4.2-OUTD-US-W;S;65.35;0.65;5.21;65.35;0.65;25.99;210.73;1.41;435.31;26.74;21.5;2.08;20.0;167;45.85;
17:07;2;PVI-4.2-OUTD-US-W;S;64.31;1.73;36.31;64.31;1.73;64.56;215.77;1.48;385.87;27.83;28.99;0.23;20.0;119;24.88;
17:08;2;PVI-4.2-OUTD-US-W;S;74.57;0.31;33.63;74.57;0.31;9.19;211.2;0.32;377.78;21.57;26.02;3.7;20.0;146;27.12;
17:09;2;PVI-4.2-OUTD-US-W;S;61.41;1.39;63.87;61.41;1.39;15.05;206.66;1.52;423.14;27.21;20.07;3.68;20.0;137;41.63;
17:10;2;PVI-4.2-OUTD-US-W;S;58.16;0.41;73.12;58.16;0.41;79.34;190.31;1.87;456.18;21.95;22.02;0.73;20.0;172;13.98;
17:11;2;PVI-4.2-OUTD-US-W;S;54.87;0.04;96.78;54.87;0.04;52.26;192.49;1.25;412.05;23.35;24.77;2.53;20.0;161;36.53;
17:12;2;PVI-4.2-OUTD-US-W;S;67.38;1.55;98.33;67.38;1.55;8.04;217.52;0.6;431.33;22.94;21.97;2.98;20.0;146;9.72;
